vid,rally_idx,shot_idx,player_id,shot_type,shot_role,start_ms,end_ms,depth,height_over_net
nwbkyf7yqp0b,0,0,2,unknown,serve,1233,2000,34.787,3.645
nwbkyf7yqp0b,0,1,0,unknown,return,2600,3133,17.887,
nwbkyf7yqp0b,1,0,3,unknown,serve,16466,17300,38.561,3.949
nwbkyf7yqp0b,2,0,0,unknown,serve,26133,26833,32.31,3.15
nwbkyf7yqp0b,2,1,3,unknown,return,27400,28466,39.431,4.822
nwbkyf7yqp0b,2,2,1,drop,rally,28900,30033,18.474,
nwbkyf7yqp0b,3,0,1,unknown,serve,38066,38866,35.854,4.231
nwbkyf7yqp0b,3,1,2,unknown,return,39333,40466,40.858,5.813
nwbkyf7yqp0b,3,2,1,drop,rally,40900,41800,21.502,
nwbkyf7yqp0b,4,0,3,unknown,serve,51033,51866,40.013,4.758
nwbkyf7yqp0b,4,1,0,unknown,return,52266,53200,24.768,4.736
nwbkyf7yqp0b,4,2,3,drop,rally,53533,54500,24.572,4.809
nwbkyf7yqp0b,4,3,1,drive,rally,54500,55166,19.456,4.19
nwbkyf7yqp0b,4,4,3,drop,rally,55166,55933,20.603,4.883
nwbkyf7yqp0b,4,5,1,drive,rally,55933,56600,19.067,3.193
nwbkyf7yqp0b,4,6,3,drive,rally,56666,57366,19.501,4.625
nwbkyf7yqp0b,4,7,1,smash,rally,57366,57800,22.137,3
nwbkyf7yqp0b,5,0,3,unknown,serve,69333,70233,39.376,4.871
nwbkyf7yqp0b,5,1,1,unknown,return,70600,71833,39.023,6.753
nwbkyf7yqp0b,5,2,2,drop,rally,72266,73200,27.335,4.675
nwbkyf7yqp0b,5,3,1,dink,rally,73200,73433,6.261,
nwbkyf7yqp0b,6,0,2,unknown,serve,83933,84666,35.976,3.98
nwbkyf7yqp0b,6,1,0,unknown,return,85266,86166,35.943,3
nwbkyf7yqp0b,6,2,3,drop,rally,86566,87400,18.015,
nwbkyf7yqp0b,7,0,0,unknown,serve,96500,97366,40.196,3.971
nwbkyf7yqp0b,7,1,2,unknown,return,97666,99000,42.82,7.61
nwbkyf7yqp0b,7,2,1,drop,rally,99600,100366,29.42,3.57
nwbkyf7yqp0b,7,3,2,drive,rally,100366,101000,16.505,3.37
nwbkyf7yqp0b,7,4,0,drop,rally,101000,101866,18.459,3.688
nwbkyf7yqp0b,7,5,2,dink,rally,102233,103166,15.889,4.149
nwbkyf7yqp0b,7,6,0,dink,rally,103666,104366,17.198,3.846
nwbkyf7yqp0b,7,7,2,drive,rally,104366,104866,12.599,3.815
nwbkyf7yqp0b,7,8,1,smash,rally,104866,105033,12.738,3.884
nwbkyf7yqp0b,7,9,2,drive,rally,105033,105600,12.208,5.814
nwbkyf7yqp0b,7,10,1,smash,rally,105600,105933,18.81,3.73
nwbkyf7yqp0b,8,0,0,unknown,serve,117133,117933,40.428,4.78
nwbkyf7yqp0b,8,1,3,unknown,return,118366,119433,47.283,6.507
nwbkyf7yqp0b,8,2,1,drop,rally,119866,121166,29.257,3
nwbkyf7yqp0b,8,3,3,dink,rally,121433,122133,18.356,4.023
nwbkyf7yqp0b,8,4,1,drive,rally,122133,122633,16.764,3.617
nwbkyf7yqp0b,8,5,3,drive,rally,122633,123066,15.774,3.716
nwbkyf7yqp0b,8,6,0,drive,rally,123066,123533,17.122,4.367
nwbkyf7yqp0b,8,7,3,drive,rally,123533,123866,16.366,3.507
nwbkyf7yqp0b,8,8,0,dink,rally,123866,124633,14.205,3.364
nwbkyf7yqp0b,8,9,3,dink,rally,124966,125633,10.228,
nwbkyf7yqp0b,9,0,0,unknown,serve,136466,137266,43.679,4.653
nwbkyf7yqp0b,9,1,2,unknown,return,137633,138600,34.158,3.376
nwbkyf7yqp0b,9,2,0,drop,rally,139366,140000,20.706,4.853
nwbkyf7yqp0b,9,3,2,drive,rally,140000,140466,15.796,3
nwbkyf7yqp0b,9,4,0,dink,rally,140466,140700,5.475,
nwbkyf7yqp0b,10,0,1,unknown,serve,152666,153833,41.093,7.349
nwbkyf7yqp0b,10,1,3,unknown,return,154266,155266,44.171,5.404
nwbkyf7yqp0b,10,2,1,drop,rally,155700,156666,27.414,3.941
nwbkyf7yqp0b,10,3,2,dink,rally,156666,157566,15.649,3.738
nwbkyf7yqp0b,10,4,1,dink,rally,157833,158566,14.011,3.871
nwbkyf7yqp0b,10,5,2,drive,rally,158566,158933,12.268,3.017
nwbkyf7yqp0b,10,6,0,drive,rally,158933,159966,46.066,7.382
nwbkyf7yqp0b,11,0,2,unknown,serve,169066,169933,38.002,4.522
nwbkyf7yqp0b,11,1,0,unknown,return,170400,171366,38.663,4.709
nwbkyf7yqp0b,11,2,2,drop,rally,171833,172566,21.684,
nwbkyf7yqp0b,12,0,3,unknown,serve,189033,189933,41.958,4.463
nwbkyf7yqp0b,12,1,1,unknown,return,190233,191433,39.508,6.228
nwbkyf7yqp0b,12,2,2,drive,rally,191866,192800,27.055,5.956
nwbkyf7yqp0b,12,3,1,drive,rally,192800,193400,22.714,4.571
nwbkyf7yqp0b,12,4,2,drop,rally,193500,194533,18.845,
nwbkyf7yqp0b,13,0,0,unknown,serve,203566,204366,38.501,3.794
nwbkyf7yqp0b,13,1,2,unknown,return,204666,205700,37.6,4.514
nwbkyf7yqp0b,13,2,1,drop,rally,206033,206700,18.404,
nwbkyf7yqp0b,14,0,1,unknown,serve,215700,216666,40.578,5.262
nwbkyf7yqp0b,14,1,3,unknown,return,217066,218000,44.013,4.922
nwbkyf7yqp0b,14,2,1,drop,rally,218433,219266,29.517,3.614
nwbkyf7yqp0b,14,3,2,dink,rally,219266,219966,16.062,3.243
nwbkyf7yqp0b,14,4,1,drop,rally,220233,221266,17.751,6.28
nwbkyf7yqp0b,14,5,2,drive,rally,221266,221733,17.477,3.858
nwbkyf7yqp0b,14,6,0,drive,rally,221733,222300,17.111,3.595
nwbkyf7yqp0b,14,7,2,drive,rally,222300,222833,18.523,3.489
nwbkyf7yqp0b,14,8,1,drive,rally,222833,223266,17.968,3.18
nwbkyf7yqp0b,14,9,2,drive,rally,223266,223733,13.602,4.614
nwbkyf7yqp0b,14,10,1,smash,rally,223733,223966,13.887,4.011
nwbkyf7yqp0b,14,11,2,dink,rally,223966,224933,9.688,
nwbkyf7yqp0b,15,0,1,unknown,serve,236600,237566,39.426,5.014
nwbkyf7yqp0b,15,1,2,unknown,return,237866,238900,39.911,4.816
nwbkyf7yqp0b,15,2,1,drop,rally,239266,240166,25.905,3.797
nwbkyf7yqp0b,15,3,3,dink,rally,240166,241033,13.244,4.335
nwbkyf7yqp0b,15,4,1,dink,rally,241033,241733,17.032,4.372
nwbkyf7yqp0b,15,5,3,dink,rally,241733,242433,16.437,5.379
nwbkyf7yqp0b,15,6,1,smash,rally,242433,242733,15.896,3
nwbkyf7yqp0b,15,7,3,drive,rally,242933,243633,20.374,5.236
nwbkyf7yqp0b,15,8,1,smash,rally,243633,243933,14.865,3.432
nwbkyf7yqp0b,15,9,2,drive,rally,243933,244433,14.983,5.49
nwbkyf7yqp0b,15,10,1,smash,rally,244433,244800,17.538,4.317
nwbkyf7yqp0b,15,11,2,dink,rally,244800,245266,10.394,
nwbkyf7yqp0b,16,0,1,unknown,serve,263800,264700,40.493,4.502
nwbkyf7yqp0b,16,1,3,unknown,return,265100,266133,42.382,4.894
nwbkyf7yqp0b,16,2,0,drive,rally,266466,267000,32.533,6.165
nwbkyf7yqp0b,16,3,3,drive,rally,267000,267600,21.487,6.157
nwbkyf7yqp0b,16,4,1,drop,rally,267600,268000,20.347,3
nwbkyf7yqp0b,16,5,3,dink,rally,268233,268666,8.01,
nwbkyf7yqp0b,17,0,1,unknown,serve,279500,280433,38.447,4.725
nwbkyf7yqp0b,17,1,2,unknown,return,280900,281533,24.431,
nwbkyf7yqp0b,18,0,1,unknown,serve,286466,287400,39.754,4.989
nwbkyf7yqp0b,18,1,3,unknown,return,287900,288866,41.228,5.234
nwbkyf7yqp0b,18,2,0,drop,rally,289233,290066,23.323,
nwbkyf7yqp0b,19,0,2,unknown,serve,299866,300700,44.077,3.469
nwbkyf7yqp0b,19,1,0,unknown,return,301100,302066,37.09,4.924
nwbkyf7yqp0b,19,2,2,drop,rally,302433,303400,28.85,5.912
nwbkyf7yqp0b,19,3,0,smash,rally,303400,303700,18.823,4.158
nwbkyf7yqp0b,20,0,3,unknown,serve,319833,320633,43.553,4.456
nwbkyf7yqp0b,20,1,1,unknown,return,320900,322033,38.132,5.546
nwbkyf7yqp0b,20,2,2,drop,rally,322566,323433,21.606,5.224
nwbkyf7yqp0b,20,3,0,drive,rally,323433,323966,17.405,4.132
nwbkyf7yqp0b,20,4,2,drop,rally,323966,324733,18.733,3.915
nwbkyf7yqp0b,20,5,0,dink,rally,324733,325466,16.36,3.449
nwbkyf7yqp0b,20,6,3,drop,rally,325566,326500,20.502,3.711
nwbkyf7yqp0b,20,7,1,dink,rally,326933,327833,17.04,4.333
nwbkyf7yqp0b,20,8,3,dink,rally,328100,329000,14.763,3.845
nwbkyf7yqp0b,20,9,0,dink,rally,329333,331366,3.334,
nwbkyf7yqp0b,20,10,0,dink,rally,331700,332533,15.306,4.41
nwbkyf7yqp0b,20,11,3,dink,rally,332533,333400,12.831,3.349
nwbkyf7yqp0b,20,12,0,dink,rally,333700,334433,14.8,3.918
nwbkyf7yqp0b,20,13,3,drive,rally,334433,334766,12.602,4.155
nwbkyf7yqp0b,20,14,0,smash,rally,334766,335033,6.019,
nwbkyf7yqp0b,21,0,3,unknown,serve,344733,345566,41.638,3.893
nwbkyf7yqp0b,21,1,0,unknown,return,345833,346866,38.609,5.821
nwbkyf7yqp0b,21,2,2,drop,rally,347433,348233,25.154,5.331
nwbkyf7yqp0b,21,3,0,drive,rally,348233,348800,22.672,4.931
nwbkyf7yqp0b,21,4,2,drop,rally,348966,349700,22.436,
nwbkyf7yqp0b,22,0,0,unknown,serve,369733,370466,37.764,4.089
nwbkyf7yqp0b,22,1,3,unknown,return,371033,372033,37.559,4.721
nwbkyf7yqp0b,22,2,0,drop,rally,372433,373033,18.599,
nwbkyf7yqp0b,23,0,1,unknown,serve,382833,383666,38.734,4.123
nwbkyf7yqp0b,23,1,2,unknown,return,384133,385200,33.486,4.66
nwbkyf7yqp0b,23,2,0,drive,rally,385566,386133,25.133,4.478
nwbkyf7yqp0b,23,3,3,smash,rally,386133,386533,19.884,3.011
nwbkyf7yqp0b,23,4,0,drop,rally,386766,387466,22.544,3.853
nwbkyf7yqp0b,23,5,3,dink,rally,387466,388200,19.965,3.466
nwbkyf7yqp0b,23,6,0,drop,rally,388633,389633,23.535,8.874
nwbkyf7yqp0b,23,7,3,smash,rally,389633,389833,12.077,3
nwbkyf7yqp0b,24,0,3,unknown,serve,406433,407333,44.6,5.129
nwbkyf7yqp0b,24,1,0,unknown,return,407600,408633,42.059,5.528
nwbkyf7yqp0b,24,2,2,drive,rally,408933,409300,13.874,
nwbkyf7yqp0b,25,0,3,unknown,serve,419533,420433,40.994,4.08
nwbkyf7yqp0b,25,1,1,unknown,return,420766,421766,37.201,4.628
nwbkyf7yqp0b,25,2,2,drop,rally,422200,423033,21.001,3.983
nwbkyf7yqp0b,25,3,1,dink,rally,423033,423933,17.296,4.807
nwbkyf7yqp0b,25,4,3,dink,rally,424233,425100,15.899,3
nwbkyf7yqp0b,25,5,1,dink,rally,425466,426333,16.265,3.723
nwbkyf7yqp0b,25,6,3,dink,rally,426633,427600,20.076,3.78
nwbkyf7yqp0b,25,7,1,dink,rally,427833,428600,13.846,3.667
nwbkyf7yqp0b,25,8,2,dink,rally,428600,429300,11.998,3.586
nwbkyf7yqp0b,25,9,1,dink,rally,429300,430133,16.451,4.035
nwbkyf7yqp0b,25,10,3,dink,rally,430466,431400,23.159,4.527
nwbkyf7yqp0b,25,11,1,dink,rally,431700,432633,18.353,3.98
